Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Average_score,Score_discrepancy,Ratings_sales_ratio
Deus Ex,PC,2000,Role-Playing,Eidos Interactive,0,0,01,0,0,0,01,90,28,9,3,1069,Ion Storm,M,92,3,9200
IL-2 Sturmovik,PC,2001,Simulation,Blue Byte,0,0,01,0,0,0,01,91,12,8,8,130,1C, 1C Company,T,90,3,9000
Karnaaj Rally,GBA,2003,Racing,Jaleco,0,01,0,0,0,0,01,81,9,9,5,4,Infinite Dreams, Paragon 5,E,88,14,8800
Grand Theft Auto III,PC,2002,Action,Take-Two Interactive,0,0,01,0,0,0,01,93,20,8,4,805,DMA Design, Rockstar North,M,88,9,8800
Wade Hixton's Counter Punch,GBA,2004,Sports,Destination Software, Inc,0,01,0,0,0,0,01,78,13,9,5,4,Inferno Games,T,86,17,8600
Monster Rancher Advance 2,GBA,2002,Simulation,Tecmo Koei,0,01,0,0,0,0,01,79,5,9,4,9,Tecmo, Graphic Research,E,86,15,8600
Neverwinter Nights 2: Mask of the Betrayer,PC,2007,Role-Playing,Atari,0,0,01,0,0,0,01,82,25,8,8,182,Obsidian Entertainment,T,85,6,8500
Mortal Kombat: Deadly Alliance,GBA,2002,Fighting,Midway Games,0,01,0,0,0,0,01,81,12,8,8,9,Criterion Games,M,84,7,8400
Unreal Tournament 2003,PC,2002,Shooter,Atari,0,0,01,0,0,0,01,86,27,8,2,98,Digital Extremes,M,84,4,8400
King's Bounty: Armored Princess,PC,2009,Role-Playing,1C Company,0,0,01,0,0,0,01,82,25,8,6,158,Katauri Interactive,T,84,4,8400
Guild Wars: Factions,PC,2006,Role-Playing,NCSoft,0,0,01,0,0,0,01,84,39,8,5,128,ArenaNet,T,84,1,8400
Fast Racing Neo ,WiiU,2016,Action,Nintendo,0,0,01,0,0,0,01,81,46,8,5,151,Shin'en,E,83,4,8300
Icewind Dale II,PC,2002,Role-Playing,Interplay,0,0,01,0,0,0,01,83,22,8,3,147,Black Isle Studios,T,83,0,8300
Art Academy: Home Studio,WiiU,2015,Misc,Nintendo,0,0,0,01,0,0,01,82,9,8,3,20,Headstrong Games,E,82,1,8200
